#RIC,Domain,Date-Time,GMT Offset,Type,Open,High,Low,Last,Volume,No. Trades,Open Bid,High Bid,Low Bid,Close Bid,Open Ask,High Ask,Low Ask,Close Ask,Low Ask Yld,Open Bid Size,High Bid Size,Low Bid Size,Close Bid Size,Open Ask Size,High Ask Size,Low Ask Size,Close Ask Size
ESH25,Market Price,2025-03-11T14:14:00.000000000Z,-5,Intraday 1Min,5599.75,5602.5,5590.75,5594.25,6340,3042,5599.5,5602.5,5590.5,5594,5599.75,5602.75,5590.75,5594.25,,5,132,1,9,9,48,1,4
ESH25,Market Price,2025-03-11T14:15:00.000000000Z,-5,Intraday 1Min,5594,5600.75,5591.75,5599.75,5879,2382,5594,5600.5,5591.75,5599.75,5594.25,5601,5592,5600,,10,89,1,2,4,78,1,9
ESH25,Market Price,2025-03-11T14:16:00.000000000Z,-5,Intraday 1Min,5599.75,5603.5,5591.75,5592,5364,2525,5599.75,5603.25,5591.75,5592,5600,5603.5,5592.25,5592.25,,1,61,1,7,9,94,1,12
ESH25,Market Price,2025-03-11T14:17:00.000000000Z,-5,Intraday 1Min,5592.25,5593.75,5584.25,5586.75,7524,3480,5592,5593.5,5584,5586.75,5592.25,5593.75,5584.25,5587,,8,196,1,12,12,71,1,7
ESH25,Market Price,2025-03-11T14:18:00.000000000Z,-5,Intraday 1Min,5586.75,5593,5586.75,5591,4944,2557,5586.75,5593,5586.5,5591,5587,5593.25,5586.75,5591.25,,11,190,1,11,7,43,1,1
ESH25,Market Price,2025-03-11T14:19:00.000000000Z,-5,Intraday 1Min,5591,5601,5589.75,5596.25,6938,3365,5591,5601,5589.5,5596,5591.25,5601.25,5589.75,5596.5,,10,50,1,12,1,186,1,19
ESH25,Market Price,2025-03-11T14:20:00.000000000Z,-5,Intraday 1Min,5596.25,5599.75,5595,5599,4849,2404,5596.25,5599.75,5595,5599,5596.5,5600,5595.25,5599.25,,1,29,1,2,19,39,1,11
ESH25,Market Price,2025-03-11T14:21:00.000000000Z,-5,Intraday 1Min,5599,5600.25,5593,5596.25,5347,2716,5599,5600.25,5593,5596.25,5599.25,5600.5,5593.25,5596.5,,1,58,1,12,11,45,1,7
ESH25,Market Price,2025-03-11T14:22:00.000000000Z,-5,Intraday 1Min,5596.25,5597,5586,5588.5,5607,2712,5596.25,5597,5586,5588.25,5596.5,5597.25,5586.25,5588.75,,12,176,1,10,9,37,1,15
ESH25,Market Price,2025-03-11T14:23:00.000000000Z,-5,Intraday 1Min,5588.25,5588.75,5585,5587,4126,2066,5588.25,5588.75,5585,5587,5588.75,5589,5585.25,5587.25,,9,119,1,6,15,44,1,8
ESH25,Market Price,2025-03-11T14:24:00.000000000Z,-5,Intraday 1Min,5587,5588.25,5580,5585.75,6368,3010,5587,5588,5580,5585.5,5587.25,5588.25,5580.25,5585.75,,6,117,1,5,7,61,1,21
ESH25,Market Price,2025-03-11T14:25:00.000000000Z,-5,Intraday 1Min,5585.75,5586.75,5578,5578.25,5581,2643,5585.5,5586.75,5577.75,5578.25,5585.75,5587,5578,5578.5,,6,202,1,2,21,55,1,20
ESH25,Market Price,2025-03-11T14:26:00.000000000Z,-5,Intraday 1Min,5578.25,5582.75,5576.25,5578.75,7083,2988,5578.25,5582.75,5576.25,5578.75,5578.5,5583,5576.5,5579,,1,270,1,9,20,58,1,2
ESH25,Market Price,2025-03-11T14:27:00.000000000Z,-5,Intraday 1Min,5579,5580,5574,5575.75,5960,2796,5578.75,5579.75,5574,5575.5,5579,5580,5574.25,5576,,9,126,1,12,1,68,1,15
ESH25,Market Price,2025-03-11T14:28:00.000000000Z,-5,Intraday 1Min,5575.75,5576,5571,5575.5,6962,2958,5575.75,5576,5571,5575.5,5576,5576.25,5571.25,5575.75,,2,215,1,7,15,63,1,28
ESH25,Market Price,2025-03-11T14:29:00.000000000Z,-5,Intraday 1Min,5575.5,5578.25,5573.75,5574.25,5194,2569,5575.25,5578,5573.5,5574.25,5575.75,5578.25,5573.75,5574.5,,17,65,1,10,28,55,1,7
ESH25,Market Price,2025-03-11T14:30:00.000000000Z,-5,Intraday 1Min,5574.25,5587,5573.75,5580.75,9797,4747,5574.25,5586.75,5573.5,5580.75,5574.5,5587,5573.75,5581,,9,81,1,4,7,53,1,10
ESH25,Market Price,2025-03-11T14:31:00.000000000Z,-5,Intraday 1Min,5581,5585,5579.5,5580.5,5595,2881,5580.75,5585,5579.25,5580.25,5581,5585.25,5579.5,5580.5,,12,44,1,13,10,43,1,6
ESH25,Market Price,2025-03-11T14:32:00.000000000Z,-5,Intraday 1Min,5580.25,5581.75,5577,5577.75,4845,2341,5580.25,5581.75,5577,5577.5,5580.5,5582,5577.5,5577.75,,13,127,1,10,7,65,1,9
ESH25,Market Price,2025-03-11T14:33:00.000000000Z,-5,Intraday 1Min,5577.75,5579.75,5575.75,5579,5197,2616,5577.5,5579.75,5575.5,5579,5577.75,5580,5576,5579.25,,10,76,1,7,7,126,1,11
ESH25,Market Price,2025-03-11T14:34:00.000000000Z,-5,Intraday 1Min,5579.25,5580,5572.5,5575.75,6250,2923,5579,5579.75,5572.5,5575.75,5579.25,5580,5572.75,5576,,9,61,1,6,11,121,1,12
ESH25,Market Price,2025-03-11T14:35:00.000000000Z,-5,Intraday 1Min,5576,5578,5572.25,5574.5,4835,2323,5575.75,5577.75,5572,5574.25,5576,5578,5572.25,5574.5,,5,73,1,5,12,36,1,14
ESH25,Market Price,2025-03-11T14:36:00.000000000Z,-5,Intraday 1Min,5574.25,5580,5570.25,5574.25,6652,2877,5574.25,5580,5570.25,5574.25,5574.5,5580.25,5570.5,5574.5,,3,79,1,8,14,65,1,6
ESH25,Market Price,2025-03-11T14:37:00.000000000Z,-5,Intraday 1Min,5574.25,5575.75,5563,5564.75,7538,3305,5574.25,5575.75,5563,5564.5,5574.5,5576,5563.25,5564.75,,6,117,1,15,6,53,1,1
ESH25,Market Price,2025-03-11T14:38:00.000000000Z,-5,Intraday 1Min,5564.5,5566.25,5559.5,5561.5,8196,3252,5564.5,5566.25,5559.25,5561.25,5564.75,5566.5,5559.5,5561.5,,15,463,1,14,3,115,1,7
ESH25,Market Price,2025-03-11T14:39:00.000000000Z,-5,Intraday 1Min,5561.25,5565.75,5557.5,5562.25,7060,2967,5561.25,5565.5,5557.5,5562,5561.5,5565.75,5557.75,5562.25,,14,88,1,20,6,104,1,3
ESH25,Market Price,2025-03-11T14:40:00.000000000Z,-5,Intraday 1Min,5562,5567.75,5560.75,5562,6512,2820,5562,5567.75,5560.75,5562,5562.25,5568,5561,5562.25,,19,367,1,2,3,65,1,18
ESH25,Market Price,2025-03-11T14:41:00.000000000Z,-5,Intraday 1Min,5562,5562,5554.5,5555.5,7762,3152,5562,5562,5554.5,5555.5,5562.25,5562.25,5555.25,5555.75,,4,71,1,10,18,182,1,16
ESH25,Market Price,2025-03-11T14:42:00.000000000Z,-5,Intraday 1Min,5555.75,5559.25,5555,5557.75,5173,2166,5555.5,5559,5555,5557.75,5555.75,5559.25,5555.25,5558,,10,47,1,5,15,59,1,18
ESH25,Market Price,2025-03-11T14:43:00.000000000Z,-5,Intraday 1Min,5557.75,5569,5557.25,5567.25,8294,3235,5557.75,5568.75,5557,5567.25,5558,5569,5557.25,5567.5,,3,157,1,17,18,66,1,3
ESH25,Market Price,2025-03-11T14:44:00.000000000Z,-5,Intraday 1Min,5567.5,5573.5,5565.5,5567,8528,3231,5567.25,5573.25,5565.25,5567,5567.5,5573.5,5565.5,5567.25,,17,140,1,18,5,1093,1,11
ESH25,Market Price,2025-03-11T14:45:00.000000000Z,-5,Intraday 1Min,5567.25,5574.25,5564.75,5572,7858,3501,5567,5574,5564.75,5571.75,5567.25,5574.25,5565,5572,,20,103,1,32,11,45,1,11
ESH25,Market Price,2025-03-11T14:46:00.000000000Z,-5,Intraday 1Min,5572,5575.75,5569.5,5572.5,7837,3009,5571.75,5575.5,5569.5,5572.25,5572,5575.75,5569.75,5572.5,,32,57,1,11,10,57,1,9
ESH25,Market Price,2025-03-11T14:47:00.000000000Z,-5,Intraday 1Min,5572.25,5572.25,5566.75,5569.25,4593,2215,5572.25,5572.25,5566.5,5569.25,5572.5,5572.5,5566.75,5569.5,,11,50,1,5,10,33,1,14
ESH25,Market Price,2025-03-11T14:48:00.000000000Z,-5,Intraday 1Min,5569.5,5571,5562.75,5564.75,5312,2553,5569.25,5570.75,5562.5,5564.5,5569.5,5571,5562.75,5564.75,,7,60,1,20,14,45,1,11
